name,lg,lt,ID4,ID6,electric
郑州-阳光城3号院划线停车位,113.71703,34.712416,0,0,0.0
郑州-中牟电力职业学院划线停车位,113.994811,34.719409,1,1,61.8
郑州-香山路划线停车位,113.667492,34.868987,4,4,68.12
郑州-圃田嘉园划线停车位,113.823016,34.743545,2,1,72.4
郑州-潭南街划线停车位,113.797627,34.747814,0,0,0.0
郑州-白沙前程小学停车场,113.876752,34.734067,4,1,58.96
郑州-建筑学院东门划线车位,113.52703,34.712269,7,4,50.76
郑州-经贸职业学院东南门划线车位,113.804187,34.8003,6,2,66.12
郑州-河南农业学院西门划线车位,113.816167,34.796819,4,2,77.37
郑州-河南警察学院西门划线车位,113.816209,34.791574,3,5,66.62
郑州-河南财经政法大学西北门划线车位,113.815316,34.787017,5,2,59.71
郑州-中医药大学北门划线车位,113.805706,34.784641,7,8,61.44
郑州-相济路划线车位,113.787379,34.784308,6,5,53.35
郑州-建筑学院北门划线车位,113.525099,34.714389,4,1,50.8
郑州-科技学院东门划线车位,113.512523,34.709015,2,1,55.13
郑州-金博大商场停车场,113.665815,34.756201,2,5,57.91
郑州-科新花园停车场,113.685478,34.79627,6,2,52.38
郑州-河南工业大学地铁A口地面停车场,113.542768,34.82609,4,3,58.14
郑州-郑大科技园地铁站D口停车场,113.54246,34.819562,1,3,72.5
郑州-凯芙国际酒店停车场,113.844483,34.529627,4,3,47.14
郑州-温哥华山庄停车场,113.718862,34.78467,2,2,51.15
郑州-麦德龙商超（郑东商场）停车场,113.735719,34.74752,12,4,50.65
郑州-五洲大酒店停车场,113.644341,34.799055,2,2,83.05
郑州-盛润国际广场停车场,113.719975,34.76192,2,1,49.13
郑州-东润泰和苑停车场,113.659077,34.808153,3,1,54.3
郑州-帝湖商场停车场,113.615158,34.720557,3,2,38.36
郑州-明德停车场,113.640768,34.719244,3,1,56.0
郑州-河南省中医院停车场,113.652876,34.799873,0,3,55.07
郑州-凯润商务酒店停车场,113.627044,34.809694,6,4,69.18
郑州-东美家园停车场,113.754254,34.712003,2,2,73.65
郑州-同兴街两侧停车区,113.513188,34.706361,5,3,55.65
郑州-尚书院地上停车场,113.756464,34.749283,6,2,53.15
郑州-梧桐街宜尚酒店停车场,113.549673,34.794249,8,1,50.18
郑州-正弘生活广场停车场,113.567101,34.805076,6,3,45.6
郑州-万科城采薇苑停车场,113.524417,34.810124,7,2,50.09
郑州-须水河公园停车场,113.517837,34.822359,7,2,53.22
郑州-沃金山广场东门对面停车场,113.860083,34.559796,4,1,51.2
郑州-二七广场停车场,113.662021,34.752843,1,3,43.25
郑州-紫荆山百货停车场,113.680419,34.762096,2,1,80.4
郑州-管城紫龙苑停车场,113.681606,34.734492,4,2,62.7
郑州-河南政法学院东门停车场,113.665581,34.803455,3,1,45.0
郑州-郑商国际广场地上停车场,113.700306,34.720538,4,0,52.5
郑州-凤凰城市广场D区停车场,113.710831,34.742589,3,1,73.25
郑州-英协花园南区停车场,113.718544,34.747825,4,0,49.75
郑州-晨旭路地面停车场,113.696531,34.801249,2,1,50.53
郑州-中原新城（汝河路）地上停车场,113.609586,34.732626,2,2,59.8
郑州-安军城小区停车场,113.652818,34.809188,1,3,42.75
郑州-正道中环停车场,113.68176,34.778562,2,1,68.53
郑州-中原商贸城地面停车场,113.626493,34.752672,2,2,54.85
郑州-冉屯路世纪联华停车场,113.613277,34.782093,3,1,57.25
郑州-郑州卫校停车场,113.643765,34.721614,3,1,60.25
郑州-郑州客运北站停车场,113.679104,34.842461,2,1,77.33
郑州-中原中路停车场,113.592416,34.747754,2,2,49.65
郑州-二七区北京华联停车场,113.627664,34.709495,3,1,62.55
郑州-丹尼斯地面停车场,113.625811,34.68295,4,0,53.0
郑州-昆仑华府望岳停车场,113.596365,34.736903,4,0,56.0
郑州-鑫苑鑫城停车场,113.760814,34.740827,3,1,61.9
郑州-金泉停车场,113.656879,34.714356,2,2,58.6
郑州-豫通驾校停车场,113.671648,34.792072,2,1,55.2
郑州-万科福晟万科誉停车场,113.770238,34.743765,4,0,55.25
郑州-天明园小区停车场,113.749247,34.720749,1,3,67.25
郑州-经开区外国语女子中学停车场,113.753835,34.720255,3,1,64.1
郑州-河南省中都皮肤医院停车场,113.739811,34.749883,3,0,44.13
郑州-郑州市中心医院（高新区）停车场,113.56863,34.816974,2,1,44.0
郑州-市体育中心地铁站停车场,113.806692,34.773475,2,1,71.47
郑州-金水区融元广场停车场,113.681929,34.800394,2,1,70.47
郑州-河南工业大学东门对面停车场,113.557633,34.830429,3,1,51.35
郑州-通站路停车场,113.676274,34.716688,3,1,68.5
郑州-东佳一汽大众店,113.491415,34.763891,4,1,58.8
郑州-万通汇合一汽大众店,113.852224,34.699418,3,2,40.44
郑州-CBD3号停车场,113.717351,34.771962,3,5,57.25
郑州-莆田西路划线车位,113.787586,34.741105,2,2,74.5
郑州-威佳众飞一汽大众店,113.733095,34.746696,5,3,70.05
郑州-万通一汽大众店,113.694018,34.825278,2,0,59.07
郑州-中原福塔划线车位,113.730185,34.722777,7,8,74.77
郑州-如意西路划线车位,113.732974,34.799455,5,1,45.0
郑州-如意河西七街划线车位,113.731642,34.795594,5,2,36.29
郑州-心怡路划线车位,113.77061,34.773751,1,2,49.67
